Input,Output,ObservedProb,ExpectedProb
mureg+PL_25,muregson,0.0,0.23103192402243714
mureg+PL_26,muregson,0.0,0.23103192402243714
mureg+PL_27,muregson,0.0,0.23103192402243714
mureg+PL_28,muregson,0.0,0.23103192402243714
mureg+PL_29,muregson,0.0,0.23103192402243714
mureg+PL_30,muregson,0.0,0.23103192402243714
mureg+PL_31,muregson,0.0,0.23103192402243714
mureg+PL_32,muregson,0.0,0.23103192402243714
mureg+PL_33,muregson,0.0,0.23103192402243714
mureg+PL_34,muregson,0.0,0.23103192402243714
mureg+PL_35,muregson,0.0,0.23103192402243714
mureg+PL_36,muregson,0.0,0.23103192402243714
mureg+PL_37,muregson,0.0,0.23103192402243714
mureg+PL_38,muregson,0.0,0.23103192402243714
mureg+PL_39,muregson,0.0,0.23103192402243714
mureg+PL_40,muregson,0.0,0.23103192402243714
mureg+PL_41,muregson,0.0,0.23103192402243714
mureg+PL_42,muregson,0.0,0.23103192402243714
mureg+PL_43,muregson,0.0,0.23103192402243714
mureg+PL_44,muregson,0.0,0.23103192402243714
mureg+PL_45,muregson,0.0,0.23103192402243714
mureg+PL_46,muregson,0.0,0.23103192402243714
mureg+PL_47,muregson,0.0,0.23103192402243714
mureg+PL_48,muregson,0.0,0.23103192402243714
mureg+PL_49,muregson,0.0,0.23103192402243714
mureg+PL_50,muregson,0.0,0.23103192402243714
mureg+PL_51,muregson,0.0,0.23103192402243714
mureg+PL_52,muregson,0.0,0.23103192402243714
mureg+PL_53,muregson,0.0,0.23103192402243714
mureg+PL_54,muregson,0.0,0.23103192402243714
mureg+PL_55,muregson,0.0,0.23103192402243714
mureg+PL_56,muregson,0.0,0.23103192402243714
mureg+PL_57,muregson,0.0,0.23103192402243714
mureg+PL_58,muregson,0.0,0.23103192402243714
mureg+PL_59,muregson,0.0,0.23103192402243714
mureg+PL_60,muregson,0.0,0.23103192402243714
mureg+PL_61,muregson,0.0,0.23103192402243714
mureg+PL_62,muregson,0.0,0.23103192402243714
mureg+PL_63,muregson,0.0,0.23103192402243714
mureg+PL_64,muregson,0.0,0.23103192402243714
mureg+PL_65,muregson,0.0,0.23103192402243714
mureg+PL_66,muregson,0.0,0.23103192402243714
mureg+PL_67,muregson,0.0,0.23103192402243714
mureg+PL_68,muregson,0.0,0.23103192402243714
mureg+PL_69,muregson,0.0,0.23103192402243714
mureg+PL_70,muregson,0.0,0.23103192402243714
mureg+PL_71,muregson,0.0,0.23103192402243714
mureg+PL_72,muregson,0.0,0.23103192402243714
mureg+PL_73,muregson,0.0,0.23103192402243714
mureg+PL_74,muregson,0.0,0.23103192402243714
mureg+PL_75,muregson,0.0,0.23103192402243714
mureg+PL_76,muregson,0.0,0.23103192402243714
mureg+PL_77,muregson,0.0,0.23103192402243714
mureg+PL_78,muregson,0.0,0.23103192402243714
mureg+PL_0,muregka,1.0,0.7689680759775629
mureg+PL_1,muregka,1.0,0.7689680759775629
mureg+PL_2,muregka,1.0,0.7689680759775629
mureg+PL_3,muregka,1.0,0.7689680759775629
mureg+PL_4,muregka,1.0,0.7689680759775629
mureg+PL_5,muregka,1.0,0.7689680759775629
mureg+PL_6,muregka,1.0,0.7689680759775629
mureg+PL_7,muregka,1.0,0.7689680759775629
mureg+PL_8,muregka,1.0,0.7689680759775629
mureg+PL_9,muregka,1.0,0.7689680759775629
mureg+PL_10,muregka,1.0,0.7689680759775629
mureg+PL_11,muregka,1.0,0.7689680759775629
mureg+PL_12,muregka,1.0,0.7689680759775629
mureg+PL_13,muregka,1.0,0.7689680759775629
mureg+PL_14,muregka,1.0,0.7689680759775629
mureg+PL_15,muregka,1.0,0.7689680759775629
mureg+PL_16,muregka,1.0,0.7689680759775629
mureg+PL_17,muregka,1.0,0.7689680759775629
mureg+PL_18,muregka,1.0,0.7689680759775629
mureg+PL_19,muregka,1.0,0.7689680759775629
mureg+PL_20,muregka,1.0,0.7689680759775629
mureg+PL_21,muregka,1.0,0.7689680759775629
mureg+PL_22,muregka,1.0,0.7689680759775629
mureg+PL_23,muregka,1.0,0.7689680759775629
mureg+PL_24,muregka,1.0,0.7689680759775629
mureg+PL_25,muregka,1.0,0.7689680759775629
mureg+PL_26,muregka,1.0,0.7689680759775629
mureg+PL_27,muregka,1.0,0.7689680759775629
mureg+PL_28,muregka,1.0,0.7689680759775629
mureg+PL_29,muregka,1.0,0.7689680759775629
mureg+PL_30,muregka,1.0,0.7689680759775629
mureg+PL_31,muregka,1.0,0.7689680759775629
mureg+PL_32,muregka,1.0,0.7689680759775629
mureg+PL_33,muregka,1.0,0.7689680759775629
mureg+PL_34,muregka,1.0,0.7689680759775629
mureg+PL_35,muregka,1.0,0.7689680759775629
mureg+PL_36,muregka,1.0,0.7689680759775629
mureg+PL_37,muregka,1.0,0.7689680759775629
mureg+PL_38,muregka,1.0,0.7689680759775629
mureg+PL_39,muregka,1.0,0.7689680759775629
mureg+PL_40,muregka,1.0,0.7689680759775629
mureg+PL_41,muregka,1.0,0.7689680759775629
mureg+PL_42,muregka,1.0,0.7689680759775629
mureg+PL_43,muregka,1.0,0.7689680759775629
mureg+PL_44,muregka,1.0,0.7689680759775629
mureg+PL_45,muregka,1.0,0.7689680759775629
mureg+PL_46,muregka,1.0,0.7689680759775629
mureg+PL_47,muregka,1.0,0.7689680759775629
mureg+PL_48,muregka,1.0,0.7689680759775629
mureg+PL_49,muregka,1.0,0.7689680759775629
mureg+PL_50,muregka,1.0,0.7689680759775629
mureg+PL_51,muregka,1.0,0.7689680759775629
mureg+PL_52,muregka,1.0,0.7689680759775629
mureg+PL_53,muregka,1.0,0.7689680759775629
mureg+PL_54,muregka,1.0,0.7689680759775629
mureg+PL_55,muregka,1.0,0.7689680759775629
mureg+PL_56,muregka,1.0,0.7689680759775629
mureg+PL_57,muregka,1.0,0.7689680759775629
mureg+PL_58,muregka,1.0,0.7689680759775629
mureg+PL_59,muregka,1.0,0.7689680759775629
mureg+PL_60,muregka,1.0,0.7689680759775629
mureg+PL_61,muregka,1.0,0.7689680759775629
mureg+PL_62,muregka,1.0,0.7689680759775629
