Epoch,ProbOfMajSuff
0,0.5
1,0.8160782725804958
2,0.7214992683494623
3,0.7323077730532047
4,0.7376601590602766
5,0.7433632292366916
6,0.7483128049407415
7,0.7494237209839276
8,0.7505069185568176
9,0.7517359322094342
10,0.753077526689023
11,0.7544958116324617
12,0.7560918743653928
13,0.7580024330306895
14,0.7599436054792033
15,0.7618572888649916
16,0.763730767656578
17,0.7652272448703584
18,0.766530582664298
19,0.7677653215589209
